2026-03-07 15:35:18.948 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'HR executive' in Jaipur
2026-03-07 15:35:19.246 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ HR executive in Jaipur: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:19.247 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'BPO' in Indore
2026-03-07 15:35:19.572 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ BPO in Indore: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:19.573 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'customer support' in Indore
2026-03-07 15:35:19.892 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ customer support in Indore: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:19.893 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'data analyst' in Indore
2026-03-07 15:35:20.289 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ data analyst in Indore: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:20.290 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'software developer' in Indore
2026-03-07 15:35:20.691 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ software developer in Indore: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
